Country,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Germany,Developed,81.175,71.25,2.5,11.62866667,3900.890261,77.4375,1497.1875,51.99375,3.25,94.8125,4.073333333,89.875,0.1,24337.7491,38757347.44,1.11875,1.10625,0.8945,16.6
Ghana,Developing,60.8625,180.0625,40.3125,1.268666667,77.24912203,67.5,3419.75,21.725,59.8125,78.9375,4.328666667,73.875,2.2875,834.3761008,11534782.63,7.65,7.575,0.525875,9.5125
Greece,Developing,81.21875,73.625,0.1875,8.803333333,1759.24682,88.9375,24.875,58.68125,0.4375,91.4375,9.038666667,96.625,0.1,16454.23587,1550208.438,0.8125,0.73125,0.8423125,15.9375
Grenada,Developing,73.29375,153.75,0,8.843333333,363.8412298,95.46666667,0,40.2125,0,95.125,6.188666667,95.625,0.1,6259.517261,na,3.91875,3.93125,0.2331875,15.20625
Guatemala,Developing,71.73125,131.1875,13.125,2.268666667,334.027048,87.09090909,0,40.44375,16.125,71.4375,6.594,85.5625,0.375,2365.834474,5933907.5,1.3375,1.3375,0.5844375,9.8625
Guinea,Developing,56.0125,259.875,30.8125,0.164666667,15.89128295,58.66666667,1522,17.46875,48.375,52.4375,4.009333333,47.875,2.19375,279.4647979,4252798.938,7.64375,7.625,0.36475,7.175
Guinea-Bissau,Developing,55.36875,158.3125,4.5625,2.26,21.96164466,75,331.3125,19.43125,7.3125,74.75,5.870666667,65.25,4.81875,384.2149305,981883.1875,7.5,7.38125,0.2541875,8.2875
Guyana,Developing,65.6375,203.9375,0.5625,7.406,187.765018,88.2,0,36.38125,1,87.75,6.084,88.1875,1.0625,1783.880937,494437.25,5.68125,5.46875,0.6198125,10.7875
Haiti,Developing,59.86875,168.3125,17,5.486,36.12920018,40.66666667,71.9375,39.275,24.8125,53.8125,6.183333333,48,2.7375,434.3601282,3852657.688,4.24375,4.25625,0.4620625,8.45
Honduras,Developing,72.99375,142,4.625,3.042,192.1156353,95.0625,0,39.74375,5.6875,95.375,8.147333333,95.625,0.81875,1421.788083,2832386.563,2.4,2.3375,0.590125,10.8875
Hungary,Developed,73.825,147.0625,0.5625,11.42733333,376.8310803,na,2.0625,56.93125,0.875,98.9375,7.768666667,99,0.1,8513.641831,1604902.25,1.91875,1.9125,0.8043125,15.11875
Iceland,Developed,82.44375,49.375,0,7.466,4991.595308,na,0,51.075,0,89.75,8.546,89.75,0.1,30159.50291,186177.625,0.95625,0.9,0.8853125,18.15625
India,Developing,65.41875,146.5625,1366.6875,1.942,33.24262109,35,46454.1875,14.79375,1812.5,69.625,4.358666667,67.0625,0.25625,837.9200509,421467690.9,27.1,27.94375,0.5495,9.98125
Indonesia,Developing,67.55625,166.5625,151.1875,0.068666667,83.76831559,73.5625,16244.9375,19.95625,186.625,62.1875,2.663333333,72.375,0.2,1669.116783,116555259.4,3.41875,3.94375,0.6414375,11.6125
Iran (Islamic Republic of),Developing,73.85625,107,25.1875,0.016,0,97.75,2828.25,48.63125,29.6875,98.25,6.29,98.375,0.1,na,na,7.76875,7.95625,0.715,12.65625
Iraq,Developing,70.35625,136.75,31.1875,0.134666667,120.6636895,64.875,3454.375,48.59375,38,55.625,4.435833333,65.75,0.1,3542.557537,18572840.81,5.4,5.1625,0.6335,9.90625
Ireland,Developed,80.15,72.4375,0,12.654,4867.312605,86.83333333,174.5,53.6875,0,86.125,7.728666667,86.125,0.1,33835.27201,3599794.563,0.3,0.21875,0.8915,17.65625
Israel,Developing,81.3,59.5,0.9375,2.497333333,1467.535827,97.4375,138.9375,54.9875,1,94.25,7.478666667,89,0.1,18860.47602,27862.875,1.14375,1.1,0.8731875,15.7125
Italy,Developed,82.1875,54.1875,2,8.266666667,2937.137654,95.5,1961.375,56.15,2.3125,96.125,8.777333333,94.75,0.1,21234.78237,27643788.94,0.5125,0.525,0.8580625,15.93125
Jamaica,Developing,74.29375,141.25,1,3.624,134.2494502,83.15384615,0.1875,45.425,1,89.625,5.144,89.3125,1.2375,2509.54647,1500309.125,1.88125,1.7375,0.709625,12.275
Japan,Developed,82.5375,57.125,2.875,7.040666667,3923.050329,na,6875.8125,25.60625,4,96,6.472666667,96.25,0.1,24892.54478,97384.0625,1.8125,1.54375,0.8765625,14.975
Jordan,Developing,72.9875,114.3125,4,0.517333333,273.5995342,97,26.5,53,4,97.125,8.781333333,97,0.1,1822.629926,4895075.688,3.8875,3.86875,0.729,13.2375
Kazakhstan,Developing,66.7625,232.0625,7.125,6.641333333,203.0309086,97.3125,1246.9375,45.15625,8.0625,97.5,4.019333333,96.4375,0.1,4040.586664,8340547.438,2.4375,2.54375,0.7450625,14.025
Kenya,Developing,57.48125,348.5625,65.875,1.602,61.65546434,74.57142857,2643.875,15.5625,98.625,70.1875,4.668666667,70.5,8.7625,716.7700679,16826787.63,8.4,8.2875,0.497125,9.96875
Kiribati,Developing,65.15,129.4375,0,0.440666667,77.12610334,75.1875,0,69.43125,0,75.25,5.728,74.9375,0.1,1175.292416,35919.9375,0.15625,0.1375,0.36375,11.69375
Kuwait,Developing,73.84375,83.25,0.5,0.021333333,1719.840981,98.1875,15.375,59.60625,1,98.1875,2.809333333,98.5,0.1,31914.37834,na,3.28125,3.15625,0.7895,13.725
Kyrgyzstan,Developing,69.08125,173.6875,3.75,2.267333333,0,85.5625,1156.625,35.1125,4.125,95.875,6.118666667,96.5625,0.1125,na,na,3.35625,3.4125,0.6220625,12.3375
Lao People's Democratic Republic,Developing,62.38125,197.1875,10.625,3.505333333,0,60.30769231,552.75,14.3625,14.75,58.8125,3.444,61.5,0.2,na,na,6.275,6.38125,0.515625,9.23125
Latvia,Developed,73.73125,161.8125,0,8.864,530.6051918,88.9375,3.3125,51.30625,0,95.0625,6.331333333,95,0.1,7951.824897,1174562.688,2.40625,2.43125,0.7925,15.56875
Lebanon,Developing,74.2,65.3125,1,1.785333333,333.0479451,70.5,295.1875,55.3375,1,71.25,6.670666667,70.5,0.1,4696.192379,2489104.5,4.76875,4.71875,0.4696875,13.74375
Lesotho,Developing,48.78125,550.0625,4.5,2.086666667,82.1189129,73.23076923,266.6875,25.2375,6.3125,67.9375,7.607333333,79.4375,22.96875,794.5230103,1200527.563,7.1875,7.06875,0.4568125,10.65625
Liberia,Developing,57.525,246.9375,10.6875,3.258,25.27170668,49.125,705.3125,19.9875,14.75,59.4375,6.844,40.6875,2.28125,246.281748,2788942.625,7.8375,7.7625,0.3894375,9.86875
Libya,Developing,72.4875,139.6875,2.1875,0.01,180.0749891,96.3125,547.3125,54.8375,2.5,96.5,3.728,96.5,0.1,4598.161975,na,5.6,5.43125,0.7408125,14.79375
Lithuania,Developed,72.80625,117.25,0,12.63266667,1015.753843,94.75,14.9375,49.23125,0,88.8125,6.547333333,94.25,0.1,9007.458623,1926212.125,2.9375,2.96875,0.8066875,16.1
Luxembourg,Developed,80.78125,67.5625,0,11.922,8177.576341,92.375,1.125,47.825,0,98.0625,7.547333333,98.9375,0.1,53257.01274,265276.375,0.95,0.9125,0.878125,13.6375
Madagascar,Developing,62.74375,228.8125,34.9375,0.82,43.25315657,63.35714286,9576.1875,14.76875,51.125,59.9375,4.710666667,61.25,0.525,314.0413296,10950267.44,7.86875,7.78125,0.4566875,9.33125
Malawi,Developing,49.89375,424.4375,37.125,0.919333333,25.84970646,89.57142857,7559.4375,16.78125,58.75,89.0625,6.658666667,83.625,16.68125,237.504042,6700263.063,7.11875,6.9875,0.410625,10.23125
Malaysia,Developing,73.75625,118.5625,3.3125,0.490666667,248.8850281,96,1453.125,29.16875,4.125,96.375,3.748666667,96.4375,0.1,4904.938992,11529155.81,8.6125,8.40625,0.749125,12.5625
Maldives,Developing,75.5375,83.1875,0,1.407333333,626.4998211,97.875,157.875,19.29375,0,97.875,8.236666667,97.875,0.1,3818.296962,3334.25,14.19375,14.2875,0.638625,12
Mali,Developing,54.9375,202.125,55.9375,0.438,48.98117698,67.15384615,823.3125,17.2125,96.5,62.5,6.522666667,67,1.825,530.5121701,5781492.875,7.075,6.35,0.3651875,6.43125
Malta,Developed,80.3625,60.75,0,7.13,1181.431786,80.53846154,2.1875,66.18125,0,89.4375,8.596666667,89.3125,0.1,10114.79794,224742.4375,0.75,0.7125,0.8111875,14.30625
Marshall Islands,Developing,na,na,0,0.01,871.8783173,8,0,81.6,0,79,17.24,79,0.1,3617.752354,na,0.1,0.1,na,0
Mauritania,Developing,62.8,159.9375,7.8125,0.013333333,31.70314712,57.63636364,815.9375,22.475,11.9375,63.0625,3.935333333,60.125,1.1875,635.049609,1262286.188,6.48125,6.81875,0.4730625,7.31875
Mauritius,Developing,72.7125,163.5625,0,2.906666667,422.2395243,96.1875,54.3125,25.98125,0,96.5,4.524666667,96.3125,0.10625,5299.579824,663332.875,7.46875,7.4125,0.722625,13.53125
Mexico,Developing,75.71875,111.0625,39.625,5.114,465.3274958,94.4375,11,51.41875,46.5,95.0625,6.074,95,0.1,5179.330807,27585265.19,1.73125,1.66875,0.728875,12.325
Micronesia (Federated States of),Developing,68.2,154.0625,0,2.145333333,0,75.4375,8.75,65.15,0,82.375,11.056,81.875,0.1,na,na,0.2125,0.20625,0.5868125,10.4
Monaco,Developing,na,na,0,0.01,0,99,0,na,0,99,4.3,99,0.1,na,na,na,na,na,na
Mongolia,Developing,65.8875,222.125,1.5625,2.354,126.378364,97.4375,2079.25,39.79375,1.9375,97.5625,5.180666667,97.375,0.1,1984.688023,2037470.688,2.28125,2.3875,0.6620625,12.66875
Montenegro,Developing,74.5,92.75,0,2.584285714,455.049824,48.5,0.625,50.4875,0,84.3,7.419333333,84.5,0.1,4676.514278,329668.1875,2.1375,2.1875,0.58375,10.71875
Morocco,Developing,72.15625,95.1875,21.375,0.518666667,102.9896583,87.25,2593,48.61875,24.875,96.9375,5.442666667,97.1875,0.1,1936.391438,20591653.94,6.45625,6.3125,0.5855,10.2875
Mozambique,Developing,53.39375,226.25,74.5625,1.266,37.03415152,67.86666667,4735,16.14375,107.25,69,5.972666667,64.0625,11.3875,365.0682381,11729745.94,3.80625,3.71875,0.3608125,7.9875
Myanmar,Developing,64.2,154.3125,56.625,0.351333333,12.82456364,65.46153846,914.5,17.125,76.9375,70.6875,2.012666667,72.375,0.475,616.1843573,26015702,13.13125,13.425,0.48825,8.325
Namibia,Developing,60.4,313.1875,2.875,4.710666667,359.9300794,86.33333333,722.0625,28.225,3.8125,78.5,7.398666667,83.5,13.64375,3042.603507,1025527.125,10.7,10.70625,0.5883125,11.55
Nauru,Developing,na,na,0,0.01,15.60659587,87,0,87.3,0,87,4.65,87,0.1,136.18321,na,0.1,0.1,na,9.6
Nepal,Developing,66.48125,147.25,29.125,0.19,40.16206428,65.38461538,4663.5625,15.175,38.125,69.125,5.889333333,73.6875,0.15625,395.3284679,14633755.56,17.13125,17.66875,0.494375,10.43125
Netherlands,Developed,81.13125,61.625,1,8.846666667,3805.687048,48.2,251.9375,53.96875,1,96.8125,7.141333333,96.8125,0.1,34964.7198,9775704.375,1.025,0.9625,0.89975,17.05625
New Zealand,Developed,81.3375,71.5,0,9.16625,2922.14778,70.1875,94.9375,56.625,0,89.125,8.876,70.625,0.1,14775.55481,na,0.3125,0.3,0.8911875,18.86875
Nicaragua,Developing,73.45,162.375,3.0625,3.596666667,183.6629076,91.875,0,42.68125,3.6875,88.1875,6.730666667,91.875,0.225,957.9039711,1999846.938,1.96875,1.875,0.6035,11.1125
Niger,Developing,56.98125,232.4375,52.8125,0.091333333,19.09936861,60.57142857,15467.125,16.3625,105.6875,52.9375,6.577333333,52.3125,1.1625,259.782441,11240718.94,9.025,8.9125,0.298125,4.01875
Nigeria,Developing,51.35625,248.5,535.6875,8.646666667,85.44427533,42.90909091,51653.9375,19.75,852.0625,41.3125,3.710666667,39.3125,4.83125,1360.139877,70877003.06,10.41875,10.36875,0.367375,9
Niue,Developing,na,na,0,0.01,0,99,0,77.3,0,99,7.2,99,0.1,na,na,0.1,0.1,na,na
Norway,Developed,81.79375,66.25,0,6.234375,4658.813918,na,6.3125,50.8125,0,93.0625,9.086,87.9375,0.1,27434.94693,2614432.313,0.7625,0.7,0.9314375,17.46875
Oman,Developing,74.84375,67.75,1,0.534666667,387.4108203,98.8125,10.875,44.78125,1,98.5,2.876666667,98.75,0.1,7621.311127,na,7.025,6.825,0.7155,12.225
Pakistan,Developing,64.5,154,367.9375,0.026,26.1203906,67.30769231,3842.3125,18.3125,461,64.1875,2.904,70.875,0.1,666.1110516,69027961.81,15.0875,15.5125,0.500875,6.71875
Palau,Developing,na,na,0,na,344.6906308,99,0,83.3,0,99,9.27,99,0.1,1932.12237,292,0.1,0.1,0.779,14.2
Panama,Developing,76.4875,115.875,1.125,6.212,569.9716162,78.66666667,0.25,49.3125,1.6875,84.6875,7.722,80,0.125,5417.76889,1955021.875,2.08125,2.01875,0.74825,12.775
Papua New Guinea,Developing,61.68125,266.5625,10.625,0.580666667,75.37048165,57,2349.875,40.7875,13.75,62.5625,5.462666667,68.375,1.16875,758.0976163,4813446,1.40625,1.3625,0.4661875,8.54375
Paraguay,Developing,73.1125,139.9375,3.1875,5.527333333,229.7906944,82.15384615,0,39.525,3.6875,77.9375,6.778666667,89.625,0.1375,1983.404335,3299080.625,2.2,2.11875,0.6561875,12.16875
Peru,Developing,73.6625,122.4375,11.8125,4.278666667,417.0786996,83.69230769,0.375,44.86875,15.125,82.8125,4.926666667,81,0.29375,2928.543542,16854321.69,1.21875,1.21875,0.70325,13.30625
Philippines,Developing,67.575,217.9375,61.1875,4.510666667,89.55657083,62.125,7144.6875,19.1875,78.8125,78.1875,3.905333333,79.125,0.1,1397.136107,37265400.31,1,9.69375,0.6504375,11.54375
Poland,Developed,75.65,107.5625,2.25,9.998666667,310.6822685,97.375,47.4375,53.73125,2.6875,96.75,6.379333333,98.75,0.1,6792.5636,16053249.63,2.20625,2.3625,0.8131875,15.25
Portugal,Developed,79.99375,58.875,0.1875,12.21133333,1614.897046,87.625,7.25,43.63125,0.375,96.5,7.952666667,97,0.1,11598.62553,1032225.375,0.71875,0.5375,0.805,15.9375
Qatar,Developing,77.03125,75.375,0,1.081333333,2466.855005,95.0625,96.25,65.65,0,95.875,2.601333333,89.6875,0.1,40748.4441,na,4.95625,4.5875,0.828375,12.85
Republic of Korea,Developing,80.4875,76.1875,2.125,8.855333333,0,95.125,3548.4375,23.24375,2.5625,91.25,5.912,96.0625,0.1,na,na,1.5375,1.01875,na,na
Republic of Moldova,Developing,69.98125,210.3125,1,9.545333333,0,95,390.875,43.90625,1.0625,94.9375,6.956666667,72.8125,0.1,na,na,3.025,3.2,na,na
Romania,Developed,74.05,156.0625,2.8125,8.968666667,426.5366342,91.8125,1365.6875,52.25,3.25,94.75,5.278,95,0.1,4258.940054,9206345.625,3.16875,3.50625,0.762625,13.925
Russian Federation,Developing,67.7625,224.5625,16.6875,11.128,326.0840751,92.33333333,1616.4375,53.31875,19.3125,97.5625,6.223333333,97.125,0.2625,6545.137359,59762085.63,2.44375,2.60625,0.7621875,13.74375
